ODINO,MFR_NAME,COMPONENT,VEHICLE_MODEL_YEAR,MAKE,MODEL,CDESCR,CRASH,FIRE,INJURED,DEATHS,DATEA,document_id,document_type,sensitivity_level,DATA_SOURCE
11500000,Apex Motor Works,POWER TRAIN,2021,Apex,Summit,The owner of a 2021 Apex Summit reported warning lamp illuminated while driving. The concern involved power train and may relate to a transmission park pawl calibration error may allow vehicle movement.,N,N,0,0,08/01/2025,complaint-11500000,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500001,Cobalt Auto Corporation,ELECTRICAL SYSTEM,2024,Cobalt,Vista,The owner of a 2024 Cobalt Vista reported intermittent warning appeared during cold start. The concern involved electrical system and may relate to a body control module software fault may reset the instrument cluster.,N,N,0,0,03/20/2025,complaint-11500001,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500002,Riverton Truck Co.,POWER TRAIN,2024,Riverton,Hauler,The owner of a 2024 Riverton Hauler reported dealer could not duplicate the concern on the first visit. The concern involved power train and may relate to a transmission park pawl calibration error may allow vehicle movement.,N,N,0,0,05/14/2025,complaint-11500002,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500003,Northstar Mobility LLC,SUSPENSION,2023,Northstar,Trail LX,The owner of a 2023 Northstar Trail LX reported condition occurred twice within the same month. The concern involved suspension and may relate to front lower control arm bushings may crack prematurely.,N,N,0,0,09/03/2025,complaint-11500003,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500004,Cobalt Auto Corporation,"FUEL SYSTEM, GASOLINE",2015,Cobalt,Vista,"The owner of a 2015 Cobalt Vista reported owner reported reduced confidence during highway operation. The concern involved fuel system, gasoline and may relate to a fuel line quick connector may not be fully seated.",N,N,0,0,02/26/2025,complaint-11500004,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500005,Apex Motor Works,AIR BAGS,2022,Apex,Summit,The owner of a 2022 Apex Summit reported warning lamp illuminated while driving. The concern involved air bags and may relate to the air bag control module may intermittently lose communication.,N,N,0,0,10/13/2025,complaint-11500005,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500006,Continental Passenger Vehicles,SUSPENSION,2023,CPV,Ranger,The owner of a 2023 CPV Ranger reported intermittent warning appeared during cold start. The concern involved suspension and may relate to front lower control arm bushings may crack prematurely.,N,N,0,0,06/07/2025,complaint-11500006,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500007,Helio Motors Inc.,"SERVICE BRAKES, HYDRAULIC",2025,Helio,Voltiva,"The owner of a 2025 Helio Voltiva reported dealer could not duplicate the concern on the first visit. The concern involved service brakes, hydraulic and may relate to the brake actuator may report incorrect pressure under repeated stop-and-go operation.",N,N,0,0,07/16/2025,complaint-11500007,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500008,Apex Motor Works,STEERING,2022,Apex,Summit,The owner of a 2022 Apex Summit reported condition occurred twice within the same month. The concern involved steering and may relate to the steering intermediate shaft fastener may have been under-torqued.,N,N,0,0,01/13/2025,complaint-11500008,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
11500009,Northstar Mobility LLC,STEERING,2019,Northstar,Trail LX,The owner of a 2019 Northstar Trail LX reported owner reported reduced confidence during highway operation. The concern involved steering and may relate to the steering intermediate shaft fastener may have been under-torqued.,N,N,0,0,03/11/2025,complaint-11500009,consumer_complaint,public,generated_fallback_nhtsa_style_not_real
