"question","expected_component","expected_make","expected_keyword"
"What brake remedies are available for Northstar Trail LX recalls?","SERVICE BRAKES","Northstar","hydraulic control unit"
"Which air bag complaints mention warning lamps or restraint module issues?","AIR BAGS","Orion","air bag"
"What steering issue can reduce driver control?","STEERING","Apex","steering looseness"
"What powertrain problem can cause rollaway risk?","POWER TRAIN","Riverton","park pawl"
"What fuel system defect increases fire risk?","FUEL SYSTEM","Helio","fuel leakage"
"Which seat belt issue affects occupant restraint performance?","SEAT BELTS","Cobalt","buckle anchor"
"What tire placard problem can affect handling stability?","TIRES","Meridian","inflation pressure"
"What suspension defect should dealers inspect?","SUSPENSION","CPV","lower control arms"
"For suppliers, what brake hose bracket checks are requested?","supplier_notice","Supplier","fixture settings"
"What should a supplier confirm without accessing internal service manuals?","supplier_notice","Supplier","without accessing internal service manuals"
"What does the service manual say about brake actuator diagnostic code BA-142?","service_manual","Internal","BA-142"
"What quality report finding involved brake hose routing variation?","quality_report","Internal","abrasion risk"
"What recall policy criteria are compared during triage?","recall_policy","Internal","detectability"
"Which electrical issue may reset the instrument cluster?","ELECTRICAL SYSTEM","Cobalt","instrument cluster"
"What supplier notice detail mentions material lot traceability?","supplier_notice","Supplier","material lot traceability"
